stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
FAS6_ME_new_29,544,1677.133081985294,912360.3966,912360.3966,0.9123603966,0.9123603966
FAS20_ME_17,621,1468.7136781706927,912071.1941440002,912071.1941440002,0.9120711941440002,0.9120711941440002
PR16_ME_19,519,1746.6189086088632,906495.213568,906495.213568,0.906495213568,0.906495213568
PR22_ME_24,532,1702.862385714286,905922.7892000001,905922.7892000001,0.9059227892000001,0.9059227892000001
FAS24_ME_16,541,1668.5197826173753,902669.202396,902669.202396,0.902669202396,0.902669202396
PR17_ME_35,489,1837.087553374233,898335.8136,898335.8136,0.8983358136,0.8983358136
FAS23_ME_24,542,1653.9561931586716,896444.256692,896444.256692,0.896444256692,0.896444256692
PR5_ME_39,509,1761.016486726916,896357.3917440001,896357.3917440001,0.8963573917440001,0.8963573917440001
FAS4_ME_new_06,437,2050.7704880549204,896186.7032800001,896186.7032800002,0.8961867032800003,0.8961867032800002
PR13_ME_18,547,1637.8061241096896,895879.9498880001,895879.9498880001,0.8958799498880001,0.8958799498880001
FAS6_ME_new_30,489,1828.1215325153373,893951.4293999999,893951.4293999999,0.8939514293999999,0.8939514293999999
PR13_ME_15,510,1752.5070762745097,893778.6089,893778.6089,0.8937786088999999,0.8937786088999999
FAS23_ME_06,471,1896.2734089575374,893144.7756190001,893144.7756190001,0.8931447756190001,0.8931447756190001
FAS6_ME_new_20,724,1230.2259190607733,890683.5654,890683.5653999998,0.8906835653999998,0.8906835653999999
FAS16_ME_19,465,1914.1182205247314,890064.9725440001,890064.9725440001,0.8900649725440002,0.8900649725440002
FAS23_ME_17,395,2252.519874683544,889745.3505,889745.3504999998,0.8897453504999998,0.8897453504999999
FAS19_ME_23,524,1685.1033870706108,882994.174825,882994.174825,0.882994174825,0.882994174825
FAS4_ME_new_07,432,2041.3796080740742,881875.9906880001,881875.9906880001,0.8818759906880002,0.8818759906880002
PR11_ME_14,513,1718.007867883041,881338.036224,881338.036224,0.8813380362240001,0.8813380362240001
PR17_ME_19,543,1615.0500049723757,876972.1527,876972.1527,0.8769721527,0.8769721527
FAS24_ME_20,605,1443.6071033057851,873382.2975,873382.2975,0.8733822975,0.8733822975
PR5_ME_44,557,1566.1545130053862,872348.0637440002,872348.0637440002,0.8723480637440002,0.8723480637440002
PR16_ME_14,473,1833.9916551035942,867478.0528640001,867478.0528640001,0.867478052864,0.867478052864
PR17_ME_38,524,1654.35615,866882.6226,866882.6226,0.8668826226,0.8668826226
FAS20_ME_21,611,1412.1832132242228,862843.9432800001,862843.9432800001,0.8628439432800001,0.8628439432800001
PR10_ME_24,395,2177.763376688608,860216.5337920001,860216.5337920001,0.8602165337920001,0.8602165337920001
PR5_ME_26,487,1764.956760574949,859533.9424000002,859533.9424000002,0.8595339424000001,0.8595339424000001
