stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
PR17_ME_34,470,2069.936904255319,972870.345,972870.3449999999,0.9728703449999998,0.972870345
PR20_ME_18,498,1953.4455433734938,972815.8805999999,972815.8805999999,0.9728158805999999,0.9728158805999999
PR5_ME_21,528,1837.07736969697,969976.8512000002,969976.8512000002,0.9699768512000001,0.9699768512000001
PR6_ME_10,485,1993.134894317526,966670.4237440001,966670.4237440001,0.9666704237440001,0.9666704237440001
FAS6_ME_new_17,675,1431.970278802963,966579.9381920001,966579.938192,0.966579938192,0.9665799381920002
FAS6_ME_new_09,550,1756.8603360000002,966273.1848000002,966273.1848,0.9662731848,0.9662731848000001
FAS6_ME_new_37,464,2079.6245146551723,964945.7748,964945.7748,0.9649457748,0.9649457748
PR1_ME_05,476,2021.3796872268908,962176.73112,962176.73112,0.96217673112,0.96217673112
PR10_ME_35,413,2328.3095915157387,961591.8612960001,961591.8612960001,0.961591861296,0.961591861296
PR17_ME_52,508,1890.8688791338582,960561.3905999999,960561.3905999999,0.9605613905999999,0.9605613905999999
PR21_ME_07,535,1791.3188456074765,958355.5824,958355.5824,0.9583555824,0.9583555824
PR22_ME_21,567,1687.8846062222226,957030.5717280002,957030.5717280002,0.9570305717280002,0.9570305717280002
PR1_ME_09,604,1579.4584469403974,953992.901952,953992.901952,0.953992901952,0.953992901952
FAS24_ME_19,568,1677.801001294014,952990.968735,952990.9687349999,0.9529909687349999,0.952990968735
PR10_ME_30,402,2369.293395661692,952455.9450560001,952455.9450560003,0.9524559450560003,0.9524559450560002
FAS4_ME_new_18,535,1779.4438944299068,952002.4835200001,952002.4835200001,0.9520024835200002,0.9520024835200002
PR22_ME_17,662,1421.0518867069486,940736.3489999999,940736.3489999999,0.9407363489999999,0.9407363489999999
FAS6_ME_new_36,516,1819.0687395348837,938639.4696,938639.4696,0.9386394696,0.9386394696
FAS24_ME_10,693,1354.2553254848485,938498.940561,938498.940561,0.938498940561,0.938498940561
PR12_ME_overview03,498,1884.3881760000004,938425.3116480001,938425.3116480001,0.9384253116480001,0.9384253116480001
PR12_ME_03,498,1884.3881760000004,938425.3116480001,938425.3116480001,0.9384253116480001,0.9384253116480001
PR5_ME_14,510,1837.7022113882356,937228.1278080002,937228.1278080002,0.9372281278080002,0.9372281278080002
FAS24_ME_18,604,1548.3374825960266,935195.839488,935195.839488,0.935195839488,0.935195839488
FAS23_ME_04,421,2219.841979097387,934553.4732,934553.4732,0.9345534732,0.9345534732
FAS24_ME_09,549,1695.9493285683063,931076.1813840001,931076.1813840002,0.9310761813840003,0.9310761813840002
FAS19_ME_20,613,1518.7617405791193,931000.9469750001,931000.9469750001,0.9310009469750001,0.9310009469750001
FAS24_ME_31,543,1713.900172928177,930647.7939,930647.7939,0.9306477939000001,0.9306477939000001
FAS24_ME_26,667,1391.3525767616193,928032.1687,928032.1687,0.9280321687,0.9280321687
PR14_ME_06,418,2213.4168458947374,925208.2415840002,925208.2415840003,0.9252082415840003,0.9252082415840002
PR1_ME_03,556,1660.4287062733813,923198.360688,923198.360688,0.923198360688,0.923198360688
FAS19_ME_21,579,1593.4933865284975,922632.6708000001,922632.6708000001,0.9226326708000001,0.9226326708000001
PR1_ME_overview35,443,2077.396953065463,920286.8502080002,920286.8502080002,0.9202868502080002,0.9202868502080002
PR13_ME_13,496,1855.3639540967745,920260.5212320001,920260.5212320001,0.9202605212320001,0.9202605212320001
PR20_ME_19,483,1903.0120714285713,919154.8304999999,919154.8304999999,0.9191548304999999,0.9191548304999999
FAS23_ME_14,505,1815.5734413861385,916864.5878999999,916864.5878999999,0.9168645878999999,0.9168645878999999
PR6_ME_11,500,1830.141895936,915070.9479680001,915070.9479680001,0.915070947968,0.915070947968
PR5_ME_15,420,2178.217700266667,914851.4341120002,914851.4341120002,0.9148514341120002,0.9148514341120002
FAS6_ME_new_24,498,1836.833763253012,914743.2141,914743.2141,0.9147432141,0.9147432141
PR17_ME_21,594,1536.7396363636362,912823.3439999999,912823.3439999999,0.9128233439999999,0.9128233439999999
