stub,total_fenestration_area_nm2,total_fenestration_area_um2,covered_area_nm2,covered_area_um2,porosity_fraction,porosity_percent
PR16_ME_07,680995.899392,0.680995899392,3241444.7687680004,3.2414447687680004,0.2100902369071774,21.00902369071774
FAS24_ME_23,796301.444016,0.796301444016,3798103.94496,3.79810394496,0.20965762273901808,20.96576227390181
PR5_ME_09,412864.4042880001,0.4128644042880001,1975130.7978240002,1.9751307978240003,0.20903142452279738,20.903142452279738
PR5_ME_25,734397.3248640001,0.7343973248640001,3528026.6936320006,3.5280266936320004,0.20816093205574912,20.816093205574912
FAS6_ME_new_37,964945.7748,0.9649457748,4638651.2513999995,4.6386512514,0.20802291927179653,20.802291927179652
FAS4_ME_new_05,1191390.1632160002,1.1913901632160002,5737742.174736001,5.737742174736001,0.2076409373118647,20.76409373118647
PR5_ME_15,914851.4341120002,0.9148514341120002,4410074.525888001,4.4100745258880005,0.20744579909968486,20.744579909968486
FAS24_ME_04,1279402.4582,1.2794024582,6173974.5911,6.1739745910999995,0.2072250928995243,20.722509289952427
FAS4_ME_new_01,488084.65798400005,0.488084657984,2359080.2926240005,2.3590802926240007,0.2068961618263126,20.68961618263126
PR14_ME_09,853281.2397120001,0.8532812397120001,4129394.1291680005,4.129394129168,0.20663594053298107,20.663594053298105
PR10_ME_29,686180.6636960001,0.6861806636960002,3351894.3143840004,3.3518943143840003,0.20471428969326083,20.471428969326084
PR21_ME_08,1333084.2704999999,1.3330842705,6522779.0889,6.5227790889,0.204373665324424,20.4373665324424
PR1_ME_11,703483.583904,0.703483583904,3480787.480176,3.4807874801759997,0.20210472139150235,20.210472139150234
PR20_ME_28,983164.1166,0.9831641165999999,4900802.0247,4.9008020247,0.20061290206069562,20.06129020606956
FAS6_ME_new_01,1329869.3140480001,1.3298693140480002,6635035.857648001,6.635035857648001,0.20043136805584869,20.04313680558487
PR6_ME_37,812022.9121920001,0.8120229121920001,4057466.675072001,4.057466675072001,0.2001305191687349,20.01305191687349
FAS24_ME_08,1264930.5756060001,1.264930575606,6371331.694276,6.371331694276001,0.1985347233989423,19.85347233989423
FAS19_ME_07,1196338.4673839998,1.1963384673839998,6051621.254783999,6.051621254783999,0.19768891954998938,19.76889195499894
PR16_ME_29,776446.7281920001,0.7764467281920001,3938497.3281280003,3.9384973281280002,0.19714288559922713,19.714288559922714
FAS6_ME_new_27,1103884.4592,1.1038844592,5603610.6422999995,5.6036106423,0.1969952107070221,19.69952107070221
PR11_ME_21,501783.69945600006,0.5017836994560001,2552289.7848320003,2.5522897848320003,0.19660138219337386,19.660138219337387
PR5_ME_20,844305.1686400002,0.8443051686400002,4295556.891136001,4.295556891136001,0.1965531338630963,19.65531338630963
PR6_ME_31,726192.9944960001,0.7261929944960002,3703239.9095680006,3.7032399095680004,0.19609666460435013,19.60966646043501
PR16_ME_20,708258.2251520001,0.7082582251520001,3617285.676032,3.617285676032,0.19579825553864674,19.579825553864673
PR16_ME_12,824198.2935040001,0.8241982935040001,4221424.045056,4.2214240450560006,0.1952417678743445,19.52417678743445
PR5_ME_24,1299069.280192,1.299069280192,6664179.995456001,6.664179995456001,0.19493310220879026,19.493310220879025
FAS4_ME_new_12,545700.9472640001,0.5457009472640001,2801231.964432,2.801231964432,0.1948074826336814,19.480748263368138
FAS16_ME_19,890064.9725440001,0.8900649725440002,4572946.196896001,4.572946196896001,0.19463709700939705,19.463709700939706
PR16_ME_08,994715.3152000001,0.9947153152000001,5119642.494976,5.1196424949759995,0.19429390161053875,19.429390161053874
PR12_ME_06,1223559.2580640002,1.2235592580640002,6301594.920544001,6.301594920544002,0.1941665996452805,19.416659964528048
PR5_ME_34,623136.4598579999,0.6231364598579999,3213769.2952199997,3.2137692952199997,0.1938958284232854,19.38958284232854
FAS19_ME_06,1137676.321208,1.1376763212079999,5872824.813816,5.872824813816,0.19371875669296004,19.371875669296003
PR5_ME_12,478595.08454400004,0.478595084544,2476473.0056960005,2.4764730056960005,0.19325673384818232,19.32567338481823
PR20_ME_12,1230033.5945370002,1.2300335945370002,6370068.6166590005,6.370068616659,0.19309581553332358,19.309581553332357
PR13_ME_16,1155760.9585600002,1.1557609585600002,5992236.861312,5.9922368613120005,0.1928763807756001,19.28763807756001
PR10_ME_31,1397208.3521440001,1.3972083521440002,7250249.790960001,7.250249790960001,0.19271175372276333,19.271175372276332
FAS23_ME_08,840152.300625,0.840152300625,4363156.07235,4.36315607235,0.19255609625087128,19.25560962508713
PR6_ME_10,966670.4237440001,0.9666704237440001,5040285.086848001,5.040285086848001,0.19178883874374622,19.178883874374623
PR6_ME_32,1290165.2494080001,1.2901652494080003,6739747.640384001,6.739747640384,0.1914263438704201,19.14263438704201
FAS6_ME_new_10,1114355.0505120002,1.1143550505120001,5827487.547552001,5.827487547552001,0.19122392650673553,19.122392650673554
FAS4_ME_new_07,881875.9906880001,0.8818759906880002,4612063.922928001,4.612063922928001,0.19121070423675632,19.121070423675633
FAS4_ME_new_15,812029.5770400001,0.8120295770400001,4273448.189472001,4.273448189472001,0.1900174147519802,19.00174147519802
FAS6_ME_new_29,912360.3966,0.9123603966,4806891.783,4.806891783,0.1898025663541342,18.98025663541342
PR11_ME_11,563042.210816,0.563042210816,2968520.77568,2.96852077568,0.1896709685944589,18.96709685944589
PR20_ME_21,1075617.4356,1.0756174356,5671010.3373,5.671010337299999,0.18966945422852244,18.966945422852245
PR10_ME_34,1583927.8081440001,1.583927808144,8355402.239712001,8.355402239712001,0.18956930650397938,18.956930650397936
