stub,mask_path,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,covered_area_phys2
FAS6_ME_new_09,union_masks\FAS6_ME_new_09_union_mask.npy,3.652,337000,786432,0.4285176595052083,42.85176595052083,4494604.048,4.494604048,4494604.048
PR20_ME_09,union_masks\PR20_ME_09_union_mask.npy,3.69,334818,786432,0.42574310302734375,42.574310302734375,4558915.3697999995,4.558915369799999,4558915.3697999995
PR16_ME_03,union_masks\PR16_ME_03_union_mask.npy,3.616,328910,786432,0.41823069254557294,41.823069254557296,4300648.232960001,4.30064823296,4300648.232960001
PR12_ME_09,union_masks\PR12_ME_09_union_mask.npy,3.652,327192,786432,0.416046142578125,41.6046142578125,4363793.7319680005,4.363793731968,4363793.7319680005
PR11_ME_09,union_masks\PR11_ME_09_union_mask.npy,3.616,323488,786432,0.4113362630208333,41.13362630208333,4229753.110528001,4.229753110528001,4229753.110528001
PR11_ME_16,union_masks\PR11_ME_16_union_mask.npy,3.616,316252,786432,0.4021352132161458,40.21352132161458,4135139.1109120003,4.135139110912,4135139.1109120003
PR11_ME_06,union_masks\PR11_ME_06_union_mask.npy,3.616,316136,786432,0.4019877115885417,40.19877115885417,4133622.358016,4.133622358016,4133622.358016
FAS6_ME_new_38,union_masks\FAS6_ME_new_38_union_mask.npy,3.69,315556,786432,0.4012502034505208,40.12502034505208,4296642.0516,4.2966420516,4296642.0516
FAS6_ME_new_28,union_masks\FAS6_ME_new_28_union_mask.npy,3.69,314090,786432,0.39938608805338544,39.938608805338546,4276680.848999999,4.276680849,4276680.848999999
PR16_ME_12,union_masks\PR16_ME_12_union_mask.npy,3.616,311309,786432,0.39584986368815106,39.58498636881511,4070507.1319040004,4.070507131904001,4070507.1319040004
PR16_ME_11,union_masks\PR16_ME_11_union_mask.npy,3.616,308851,786432,0.39272435506184894,39.27243550618489,4038367.6610560003,4.038367661056,4038367.6610560003
PR24_ME_05,union_masks\PR24_ME_05_union_mask.npy,3.652,307831,786432,0.39142735799153644,39.14273579915364,4105574.0614240007,4.105574061424001,4105574.0614240007
PR11_ME_25,union_masks\PR11_ME_25_union_mask.npy,3.616,305072,786432,0.3879191080729167,38.79191080729167,3988955.5128320004,3.9889555128320002,3988955.5128320004
FAS6_ME_new_12,union_masks\FAS6_ME_new_12_union_mask.npy,3.652,302078,786432,0.38411204020182294,38.411204020182296,4028845.7021120004,4.028845702112,4028845.7021120004
PR20_ME_23,union_masks\PR20_ME_23_union_mask.npy,3.69,301518,786432,0.38339996337890625,38.339996337890625,4105499.2397999996,4.105499239799999,4105499.2397999996
PR16_ME_29,union_masks\PR16_ME_29_union_mask.npy,3.616,301213,786432,0.3830121358235677,38.301213582356766,3938497.3281280003,3.9384973281280002,3938497.3281280003
PR11_ME_10,union_masks\PR11_ME_10_union_mask.npy,3.616,299126,786432,0.38035837809244794,38.035837809244796,3911208.8514560005,3.9112088514560006,3911208.8514560005
FAS6_ME_new_32,union_masks\FAS6_ME_new_32_union_mask.npy,3.69,297118,786432,0.37780507405598956,37.780507405598954,4045588.3998,4.0455883998,4045588.3998
FAS6_ME_new_05,union_masks\FAS6_ME_new_05_union_mask.npy,3.652,294395,786432,0.3743426005045573,37.434260050455734,3926376.7320800005,3.9263767320800005,3926376.7320800005
PR3_ME_05,union_masks\PR3_ME_05_union_mask.npy,3.692,293404,786432,0.3730824788411458,37.30824788411458,3999350.021056,3.9993500210560002,3999350.021056
FAS6_ME_new_21,union_masks\FAS6_ME_new_21_union_mask.npy,3.69,292234,786432,0.37159474690755206,37.159474690755204,3979087.3674,3.9790873674,3979087.3674
PR20_ME_03,union_masks\PR20_ME_03_union_mask.npy,3.652,291506,786432,0.37066904703776044,37.066904703776046,3887845.8386240005,3.8878458386240005,3887845.8386240005
PR20_ME_17,union_masks\PR20_ME_17_union_mask.npy,3.69,291192,786432,0.370269775390625,37.0269775390625,3964899.3912,3.9648993912,3964899.3912
PR20_ME_08,union_masks\PR20_ME_08_union_mask.npy,3.69,288677,786432,0.36707178751627606,36.70717875162761,3930654.8997,3.9306548997,3930654.8997
PR11_ME_18,union_masks\PR11_ME_18_union_mask.npy,3.616,286870,786432,0.36477406819661456,36.477406819661454,3750956.0627200003,3.7509560627200003,3750956.0627200003
PR20_ME_06,union_masks\PR20_ME_06_union_mask.npy,3.652,286492,786432,0.3642934163411458,36.42934163411458,3820973.5991680007,3.820973599168001,3820973.5991680007
FAS6_ME_new_11,union_masks\FAS6_ME_new_11_union_mask.npy,3.652,283007,786432,0.3598620096842448,35.986200968424484,3774493.7917280006,3.7744937917280006,3774493.7917280006
FAS6_ME_new_15,union_masks\FAS6_ME_new_15_union_mask.npy,3.652,281342,786432,0.35774485270182294,35.774485270182296,3752287.5135680004,3.7522875135680005,3752287.5135680004
PR11_ME_15,union_masks\PR11_ME_15_union_mask.npy,3.616,279392,786432,0.3552652994791667,35.52652994791667,3653177.8027520003,3.6531778027520003,3653177.8027520003
FAS6_ME_new_08,union_masks\FAS6_ME_new_08_union_mask.npy,3.652,276861,786432,0.3520469665527344,35.20469665527344,3692523.9505440006,3.6925239505440004,3692523.9505440006
PR16_ME_20,union_masks\PR16_ME_20_union_mask.npy,3.616,273220,786432,0.3474171956380208,34.74171956380208,3572476.08832,3.57247608832,3572476.08832
PR11_ME_22,union_masks\PR11_ME_22_union_mask.npy,3.616,265395,786432,0.3374671936035156,33.74671936035156,3470160.64512,3.47016064512,3470160.64512
FAS6_ME_new_14,union_masks\FAS6_ME_new_14_union_mask.npy,3.807,263103,786432,0.3345527648925781,33.45527648925781,3813217.291647,3.8132172916469997,3813217.291647
PR11_ME_17,union_masks\PR11_ME_17_union_mask.npy,3.616,258402,786432,0.32857513427734375,32.857513427734375,3378723.981312,3.378723981312,3378723.981312
PR24_ME_06,union_masks\PR24_ME_06_union_mask.npy,3.652,254352,786432,0.32342529296875,32.342529296875,3392319.0766080003,3.3923190766080005,3392319.0766080003
PR20_ME_14,union_masks\PR20_ME_14_union_mask.npy,3.69,252148,786432,0.3206227620442708,32.06227620442708,3433272.3828,3.4332723828,3433272.3828
PR16_ME_07,union_masks\PR16_ME_07_union_mask.npy,3.616,247903,786432,0.31522496541341144,31.522496541341145,3241444.7687680004,3.2414447687680004,3241444.7687680004
PR11_ME_24,union_masks\PR11_ME_24_union_mask.npy,3.616,243292,786432,0.3093617757161458,30.936177571614582,3181153.8411520002,3.181153841152,3181153.8411520002
PR3_ME_04,union_masks\PR3_ME_04_union_mask.npy,3.692,231383,786432,0.2942186991373698,29.42186991373698,3153950.2049120003,3.1539502049120003,3153950.2049120003
PR11_ME_11,union_masks\PR11_ME_11_union_mask.npy,3.616,227030,786432,0.28868357340494794,28.868357340494793,2968520.77568,2.96852077568,2968520.77568
PR11_ME_07,union_masks\PR11_ME_07_union_mask.npy,3.616,225688,786432,0.2869771321614583,28.697713216145832,2950973.513728,2.9509735137280004,2950973.513728
PR11_ME_08,union_masks\PR11_ME_08_union_mask.npy,3.616,222137,786432,0.28246180216471356,28.246180216471355,2904542.569472,2.904542569472,2904542.569472
PR11_ME_03,union_masks\PR11_ME_03_union_mask.npy,3.616,221447,786432,0.2815844217936198,28.15844217936198,2895520.504832,2.895520504832,2895520.504832
PR3_ME_03,union_masks\PR3_ME_03_union_mask.npy,3.692,214150,786432,0.27230580647786456,27.230580647786457,2919049.5256000003,2.9190495256,2919049.5256000003
PR11_ME_05,union_masks\PR11_ME_05_union_mask.npy,3.616,214148,786432,0.2723032633463542,27.230326334635418,2800082.751488,2.800082751488,2800082.751488
PR16_ME_30,union_masks\PR16_ME_30_union_mask.npy,3.616,202612,786432,0.2576344807942708,25.763448079427082,2649244.2910720003,2.649244291072,2649244.2910720003
PR11_ME_20,union_masks\PR11_ME_20_union_mask.npy,3.616,201327,786432,0.2560005187988281,25.600051879882812,2632442.330112,2.632442330112,2632442.330112
PR16_ME_31,union_masks\PR16_ME_31_union_mask.npy,3.616,197997,786432,0.2517662048339844,25.176620483398438,2588901.0616320004,2.5889010616320003,2588901.0616320004
PR11_ME_21,union_masks\PR11_ME_21_union_mask.npy,3.616,195197,786432,0.24820582071940103,24.820582071940102,2552289.7848320003,2.5522897848320003,2552289.7848320003
PR24_ME_07,union_masks\PR24_ME_07_union_mask.npy,3.652,173916,786432,0.2211456298828125,22.11456298828125,2319535.7792640002,2.319535779264,2319535.7792640002
PR24_ME_03,union_masks\PR24_ME_03_union_mask.npy,3.652,165826,786432,0.2108586629231771,21.08586629231771,2211638.607904,2.2116386079040002,2211638.607904
PR11_ME_04,union_masks\PR11_ME_04_union_mask.npy,3.616,153869,786432,0.19565455118815103,19.565455118815102,2011907.339264,2.011907339264,2011907.339264
PR24_ME_04,union_masks\PR24_ME_04_union_mask.npy,3.652,111073,786432,0.14123662312825522,14.123662312825521,1481392.1525920003,1.4813921525920004,1481392.1525920003
PR3_ME_06,union_masks\PR3_ME_06_union_mask.npy,3.692,26996,786432,0.034327189127604164,3.4327189127604165,367978.804544,0.367978804544,367978.804544
