stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
FAS15_ME_04,3.692,441969,786432,0.5619926452636719,56.19926452636719,6024419.331216,6.024419331216,594,9.859871422331818e-05,98.59871422331817,1642.4273216700337,975601.829072,0.975601829072,975601.829072,0.975601829072,0.16194122212191353,16.194122212191353
PR5_ME_21,3.704,437546,786432,0.5563685099283854,55.63685099283854,6002963.102336001,6.002963102336,528,8.795656261730701e-05,87.95656261730701,1837.07736969697,969976.8512000002,0.9699768512000001,969976.8512000002,0.9699768512000001,0.1615830107005892,16.15830107005892
PR9_ME_13,3.636,225728,786432,0.2870279947916667,28.702799479166668,2984236.121088,2.984236121088,280,9.382635577037279e-05,93.82635577037279,1721.5446594857142,482032.504656,0.482032504656,482032.50465599995,0.48203250465599995,0.1615262616954919,16.15262616954919
PR17_ME_08,3.69,261430,786432,0.33242543538411456,33.242543538411454,3559657.023,3.559657023,376,0.00010562815394026796,105.62815394026796,1526.8862776595745,574109.2404,0.5741092404,574109.2404,0.5741092404,0.16128217878590828,16.128217878590828
PR13_ME_09,3.692,233691,786432,0.2971534729003906,29.715347290039062,3185410.2390240002,3.1854102390240002,311,9.763263650941533e-05,97.63263650941532,1651.613659524116,513651.84811200004,0.513651848112,513651.8481120001,0.513651848112,0.16125139607430328,16.125139607430327
PR20_ME_13,3.69,501079,786432,0.6371548970540365,63.71548970540365,6822741.7719,6.8227417719,658,9.644216680016015e-05,96.44216680016015,1669.7518618541033,1098696.7251,1.0986967251,1098696.7251,1.0986967251,0.16103448757581137,16.103448757581138
FAS23_ME_18,3.735,287703,786432,0.3658332824707031,36.58332824707031,4013521.583175,4.013521583175,365,9.094257809154655e-05,90.94257809154657,1769.4236071232876,645839.6166,0.6458396166,645839.6166,0.6458396166,0.1609159445678356,16.091594456783557
PR16_ME_18,3.616,383196,786432,0.4872589111328125,48.72589111328125,5010462.437376,5.010462437376,493,9.839411155393995e-05,98.39411155393995,1634.9094000162274,806010.3342080001,0.8060103342080001,806010.3342080001,0.8060103342080001,0.16086545788578172,16.08654578857817
PR11_ME_04,3.616,155744,786432,0.19803873697916666,19.803873697916664,2036423.819264,2.036423819264,207,0.00010164878157573972,101.64878157573973,1581.7511772753624,327422.493696,0.327422493696,327422.493696,0.327422493696,0.16078307992603247,16.078307992603246
PR6_ME_42,3.704,237672,786432,0.302215576171875,30.2215576171875,3260768.5739520006,3.2607685739520007,285,8.740270691905757e-05,87.40270691905756,1839.3913240701756,524226.52736000007,0.5242265273600001,524226.52736000007,0.5242265273600001,0.1607677808071628,16.07677808071628
FAS23_ME_05,3.735,322021,786432,0.4094708760579427,40.947087605794266,4492265.404725,4.492265404725,446,9.928175648992013e-05,99.28175648992014,1616.2555525224216,720849.976425,0.720849976425,720849.976425,0.720849976425,0.16046469019101237,16.046469019101238
PR11_ME_13,3.616,369759,786432,0.4701728820800781,47.01728820800781,4834767.535104,4.834767535104,423,8.749127996924487e-05,87.49127996924489,1833.5004081323877,775570.67264,0.77557067264,775570.67264,0.77557067264,0.16041529753163547,16.041529753163548
PR17_ME_09,3.69,371074,786432,0.47184499104817706,47.184499104817704,5052580.6914,5.0525806914,521,0.00010311562186167444,103.11562186167444,1555.6328913627638,810484.7363999999,0.8104847364,810484.7363999999,0.8104847364,0.16041005298134603,16.041005298134603
PR1_ME_12,3.684,141684,786432,0.1801605224609375,18.01605224609375,1922914.845504,1.9229148455040002,191,9.932837142870905e-05,99.32837142870905,1613.4876135706809,308176.134192,0.308176134192,308176.134192,0.308176134192,0.16026509697636995,16.026509697636996
PR13_ME_20,3.652,303951,786432,0.3864936828613281,38.64936828613281,4053826.0979040004,4.053826097904,412,0.00010163238137250669,101.63238137250669,1576.7564602718448,649623.6616320001,0.6496236616320001,649623.6616320001,0.6496236616320001,0.16024951390191183,16.024951390191184
